snapshot_id,fetched_at_utc,gameweek_id,gameweek,player_id,Player,Display_Name,Team,Team_Short,Position,Age,Minutes,Starts,Cost_M,Selected_By_%,Goals,Assists,Expected_Goals,Expected_Assists,Expected_Goal_Involvements,creativity,threat,influence,ict_index,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution,bonus,bps,Form,Total_Points,Status,News,prev_minutes,prev_goals,prev_assists,prev_xgi,prev_form,GW_Minutes,GW_Goals,GW_Assists,GW_xGI,Goals_p90,Assists_p90,xG_p90,xA_p90,xGI_p90,Creativity_p90,Threat_p90,Influence_p90,ICT_p90,DefActions_p90,Bonus_p90,BPS_p90,GW_Goals_p90,GW_Assists_p90,GW_xGI_p90,Rolling_Form_Last5,Rolling_xGI_p90_Last5,recency_rank
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,271,Rodrigo Muniz Carvalho,Muniz,Fulham,FUL,FWD,25,8,0,5.5,0.5,0,0,0.02,0.0,0.02,11.5,7.0,6.0,2.5,0.0,0.0,1.0,1.0,0.0,6.0,0.5,1,a,,,,,,,8,0,0,0.02,0.0,0.0,0.225,0.0,0.225,129.375,78.75,67.5,28.125,22.5,0.0,67.5,0.0,0.0,0.225,0.5,0.225,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,339,Sean Longstaff,Longstaff,Leeds,LEE,MID,28,8,0,5.0,0.1,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1,a,,,,,,,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,33.75,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,568,Valentín Barco,Barco,Chelsea,CHE,MID,22,8,0,5.5,0.1,0,0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,1,a,,,,,,,8,0,0,0.04,0.0,0.0,0.45,0.0,0.45,0.0,0.0,0.0,0.0,22.5,0.0,11.25,0.0,0.0,0.45,0.5,0.45,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,596,Matteo Ruggeri,Ruggeri,Aston Villa,AVL,DEF,24,8,0,4.5,0.1,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,2.0,0.0,0.0,2.0,0.0,3.0,0.5,1,a,,,,,,,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4.5,45.0,0.0,33.75,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,616,Ayyoub Bouaddi,Bouaddi,Man City,MCI,MID,18,8,0,5.5,0.1,0,0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1,a,,,,,,,8,0,0,0.12,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.0,0.0,22.5,0.0,33.75,0.0,0.0,1.35,1.0,1.35,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,621,Ryan McAidoo,McAidoo,Man City,MCI,MID,18,8,0,4.5,0.1,0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,a,,,,,,,8,0,0,0.1,0.0,0.0,1.125,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,33.75,0.0,0.0,1.125,1.0,1.125,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,157,Estêvão Almeida de Oliveira Gonçalves,Estêvão,Chelsea,CHE,MID,19,7,0,6.4,1.0,0,0,0.0,0.0,0.0,0.4,0.0,0.2,0.1,0.0,1.0,0.0,1.0,0.0,3.0,0.5,1,a,,,,,,,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.143,0.0,2.571,1.286,25.714,0.0,38.571,0.0,0.0,0.0,0.5,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,617,Mohamed-Ali Cho,Cho,Hull City,HUL,MID,22,7,0,5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,a,,,,,,,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.571,0.0,0.0,0.0,1.0,0.0,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,243,Carlos Alcaraz Durán,Alcaraz,Everton,EVE,MID,23,5,0,5.0,0.1,0,0,0.05,0.02,0.07,0.3,17.0,5.0,2.2,1.0,2.0,0.0,3.0,0.0,5.0,0.5,1,a,,,,,,,5,0,0,0.07,0.0,0.0,0.9,0.36,1.26,5.4,306.0,90.0,39.6,108.0,0.0,90.0,0.0,0.0,1.26,0.5,1.26,1
1,2026-08-31T22:21:24+00:00,1,Gameweek 1,556,Matt Targett,Targett,Hull City,HUL,DEF,30,5,0,4.0,2.2,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,1,a,,,,,,,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,18.0,0.0,54.0,0.0,0.0,0.0,0.5,0.0,1
